ID_Tienda,Tienda,Formato
232,CHEDRAUI SELECTO MEXICO POLANCO 05-05,CHEDRAUI SELECTO
127,CHEDRAUI SELECTO LA PAZ COLIMA 05-10,CHEDRAUI SELECTO
235,CHEDRAUI SELECTO MEXICO UNIVERSIDAD 04-05,CHEDRAUI SELECTO
801,SUPER CHEDRAUI SELECTO PLAYA DEL CARMEN 10-22,SUPER CHEDRAUI SEL
98,CHEDRAUI SELECTO MEXICO SANTA FE 09-13,CHEDRAUI SELECTO
665,SUPER CHEDRAUI SELECTO CANCUN ZONA H 10-14,SUPER CHEDRAUI SEL
617,CHEDRAUI PUERTO ESCONDIDO 01-08,CHEDRAUI AB
99,CHEDRAUI SELECTO OAXACA REFORMA 09-11,CHEDRAUI SELECTO
615,CHEDRAUI HUATULCO 12-07,CHEDRAUI AB
177,CHEDRAUI SELECTO MEXICO PEDREGAL 11-18,CHEDRAUI SELECTO
651,CHEDRAUI PUERTO AVENTURAS 12-10,CHEDRAUI AB
153,CHEDRAUI SELECTO TULUM IPAE 10-11,CHEDRAUI SELECTO
253,CHEDRAUI SELECTO MERIDA NORTE 06-05,CHEDRAUI SELECTO
231,CHEDRAUI SELECTO MEXICO INTERLOMAS 04-05,CHEDRAUI SELECTO
652,SUPER CHEDRAUI SELECTO MEX. SAMARA 11-11,SUPER CHEDRAUI SEL
59,CHEDRAUI SELECTO XALAPA ANIMAS 06-00,CHEDRAUI SELECTO
668,CHEDRAUI SELECTO PUEBLA ANGELOPOLIS 09-15,CHEDRAUI SELECTO
268,CHEDRAUI SELECTO QUERETARO CENTRO SUR 10-21,CHEDRAUI SELECTO
78,SUPER CHEDRAUI SELECTO MERIDA MONTER 11-16,SUPER CHEDRAUI SEL
109,SUPER CHEDRAUI SELECTO INTERLOMAS HILLS 08-19,SUPER CHEDRAUI SEL
274,CHEDRAUI SELECTO CANCUN HUAYACAN 12-25,CHEDRAUI SELECTO
611,CHEDRAUI VALLE DE BRAVO 10-07,CHEDRAUI AB
178,CHEDRAUI SELECTO SAN JOSE DEL CABO 11-17,CHEDRAUI SELECTO
805,SUPER CHEDRAUI SELECTO PARQUE DURAZNOS 10-22,SUPER CHEDRAUI SEL
644,CHEDRAUI ISLA MUJERES 12-11,CHEDRAUI AB
138,CHEDRAUI SELECTO ACAPULCO DIAMANTE 09-11,CHEDRAUI SELECTO
233,CHEDRAUI SELECTO MEXICO COAPA 04-05,CHEDRAUI SELECTO
128,CHEDRAUI CABO SAN LUCAS 05-10,CHEDRAUI AB
655,CHEDRAUI SELECTO MEXICO TECAMACHALCO 11-12,CHEDRAUI SELECTO
176,CHEDRAUI BUCERIAS 08-16,CHEDRAUI AB
